기준년월,HSK품목코드,수출입구분코드,수산물수출입품목명,수출입구분명,당월수출입중량(킬로그램),당월수출입미화금액(달러),당해누계수출입중량(킬로그램),당해누계수출입미화금액(달러)
Jul-23,1604199090,I,어류조제품(연어/청어/고등어/기타/조제/밀폐용기에 넣은 것),수입,1000796,4528538,6728189,34921579
Jul-23,1604201000,I,생선페이스트,수입,330,3491,5666,52935
Jul-23,1604202000,I,생선마리네이드,수입,6897,62361,14580,136092
Jul-23,1604203000,I,생선소시지,수입,413,3072,3198,54764
Jul-23,1604204010,I,생선묵(게맛),수입,104843,407960,751877,2682792
Jul-23,1604204090,I,생선묵(게맛의 것 이외 기타),수입,308965,1383116,2032238,9165391
Jul-23,1604209000,I,어류조제/저장제품(생선 페이스트/마리네이드/소시지/생선묵),수입,318824,1534025,2379633,11372158
Jul-23,1604310000,I,캐비아,수입,192,133586,1722,1415053
Jul-23,1604320000,I,캐비아 대용물,수입,262541,2825338,1553349,20169325
Jul-23,1605101010,I,게살(밀폐용기에넣은것),수입,744,38524,2879,100507
Jul-23,1605101091,I,붉은 대게살(밀폐용기에 넣은 것/ 훈제한 것 이외 기타),수입,0,0,960,3744
Jul-23,1605101099,I,기타 게살(밀폐용기에 넣은 것/ 훈제한 것 이외 기타),수입,2110,44726,21379,178348
Jul-23,1605109000,I,게 조제품(게살 이외 기타),수입,5171,48260,22606,241220
Jul-23,1605211000,I,새우류(조제 또는 저장처리)(밀폐용기에 넣지 아니한 것)(브레드한 것),수입,1159565,7534724,8687584,58359312
Jul-23,1605219000,I,새우류(조제 또는 저장처리)(밀폐용기에 넣지 아니한 것)(기타),수입,513955,5620160,4561894,52224367
Jul-23,1605290000,I,새우류(조제 또는 저장처리),수입,10119,131666,106115,1197266
Jul-23,1605301000,I,바다가재(밀폐용기에넣은것),수입,35,165,155,1738
Jul-23,1605309000,I,바다가재(통조림외),수입,27519,101980,103477,364691
Jul-23,1605401000,I,기타갑각류(밀폐용기에넣은것),수입,7,51,7,51
Jul-23,1605409000,I,갑각류 조제품(게/새우/바다가재기타/밀폐용기에넣은것이외기타),수입,69,822,215,2637
Jul-23,1605511000,I,굴(조제 또는 저장처리)(밀폐용기에 넣은 것),수입,30,484,192,3315
Jul-23,1605519000,I,굴(조제 또는 저장처리)(기타),수입,3,35,132,348
Jul-23,1605520000,I,가리비과의조개(조제/저장/기타/ 밀폐용기에 넣은 것 포함),수입,218362,1719352,1258562,8284686
Jul-23,1605531000,I,홍합(조제 또는 저장처리)(밀폐용기에 넣은 것),수입,117,3617,21217,60775
Jul-23,1605539000,I,홍합(조제 또는 저장처리)(기타),수입,339380,1058865,2699802,10638812
Jul-23,1605541000,I,갑오징어/ 기타조제저장처리갑오징어(밀폐용기에넣은것 포함/ 밀폐용기이외),수입,360,4015,10759,73035
Jul-23,1605542010,I,오징어(조제 또는 저장처리)(밀폐용기에 넣은 것),수입,687,18990,5158,118289
Jul-23,1605542091,I,조미오징어(조제 또는 저장처리)(밀폐용기에 넣은 것),수입,1028007,5260570,6552351,30833576
Jul-23,1605542099,I,오징어 기타(조제 또는 저장처리),수입,2196943,9267003,18298559,77892149
Jul-23,1605550000,I,문어/ 기타조제저장처리문어(밀폐용기에넣은것 포함/ 밀폐용기이외),수입,420519,3081588,3326185,23300397
Jul-23,1605561010,I,바지락(조제 또는 저장처리)(밀폐용기에 넣은 것),수입,246,2947,3168,41118
Jul-23,1605561090,I,바지락(조제 또는 저장처리)(기타),수입,441270,1286506,3248346,8329053
Jul-23,1605562010,I,새조개(조제 또는 저장처리)(밀폐용기에 넣은 것),수입,0,0,102,676
Jul-23,1605562090,I,새조개(조제 또는 저장처리)(기타),수입,0,0,403,7224
Jul-23,1605569010,I,클램/ 새조개 및 피조개 기타(조제 또는 저장처리)(밀폐용기에 넣은 것),수입,116,3774,144,6402
Jul-23,1605569090,I,클램/ 새조개 및 피조개 기타(조제 또는 저장처리)(기타),수입,44713,177521,273591,1209172
Jul-23,1605571000,I,전복(밀폐용기에넣은것),수입,240,10981,463,30111
Jul-23,1605579000,I,전복(조제 또는 저장처리) 기타,수입,129992,3225796,537301,12052833
Jul-23,1605581000,I,달팽이(조제 또는 저장처리)(밀폐용기에 넣은 것),수입,317,6118,10385,51917
Jul-23,1605589000,I,달팽이(조제 또는 저장처리)(기타),수입,7192,105624,165598,1299613
Jul-23,1605591010,I,골뱅이(조제 또는 저장처리)(밀폐용기에 넣은 것),수입,0,0,38,699
Jul-23,1605591090,I,골뱅이(조제 또는 저장처리)(기타),수입,366484,3811017,2122473,21345150
Jul-23,1605592010,I,소라(밀폐용기에 넣은것),수입,0,0,1,12
Jul-23,1605592090,I,소라(조제 또는 저장처리)기타,수입,0,0,549781,3387093
Jul-23,1605599010,I,연체동물 기타(조제 또는 저장처리)(밀폐용기에 넣은 것),수입,116,3811,121,3957
Jul-23,1605599090,I,연체동물 기타(조제 또는 저장처리)(기타),수입,288529,1594779,2482763,15164621
Jul-23,1605611000,I,해삼(조제 또는 저장처리)(밀폐용기에 넣은 것),수입,160,48787,162,48823
Jul-23,1605619000,I,해삼(조제 또는 저장처리)기타,수입,146614,1985921,836199,10191310
Jul-23,1605621000,I,성게(조제 또는 저장처리)(밀폐용기에 넣은 것),수입,1,72,209,5225
Jul-23,1605629000,I,성게(조제 또는 저장처리)(기타),수입,446,20698,1383,68339
Jul-23,1605631000,I,해파리(조제 또는 저장처리)(밀폐용기에 넣은 것),수입,760,6976,3003,22739
Jul-23,1605639000,I,해파리(조제 또는 저장처리)(기타),수입,4434,51033,21311,251861
Jul-23,1605690000,I,기타조제저장처리수생무척추동물(밀폐용기에넣은것 포함/ 밀폐용기에 넣지 않은 것)-해삼/성게/해파리제외,수입,195,2078,41260,319702
Jul-23,2008995010,I,김,수입,2211,129288,45115,859852
